#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 02 15 48 999 99.0 99.0  0.36 16.67  8.58 291 9999.0 999.0  15.6 999.0 99.0 99.00
2016 01 02 16 18 999 99.0 99.0  0.39 14.29  9.09 292 9999.0 999.0  15.6 999.0 99.0 99.00
2016 01 02 16 48 999 99.0 99.0  0.40 16.67  9.18 288 9999.0 999.0  15.6 999.0 99.0 99.00
2016 01 02 17 18 999 99.0 99.0  0.40 14.29  9.10 289 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 02 18 18 999 99.0 99.0  0.39 15.38  8.93 291 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 02 18 48 999 99.0 99.0  0.40 15.38  8.95 291 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 02 19 18 999 99.0 99.0  0.40 13.33  9.31 285 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 02 19 48 999 99.0 99.0  0.39 13.33  8.77 287 9999.0 999.0  16.0 999.0 99.0 99.00
2016 01 02 20 18 999 99.0 99.0  0.38 13.33  8.82 288 9999.0 999.0  16.1 999.0 99.0 99.00
2016 01 02 20 48 999 99.0 99.0  0.39 15.38  8.89 289 9999.0 999.0  16.1 999.0 99.0 99.00
2016 01 02 21 18 999 99.0 99.0  0.41 14.29  9.15 291 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 02 22 18 999 99.0 99.0  0.43 15.38  9.41 292 9999.0 999.0  16.1 999.0 99.0 99.00
2016 01 02 22 48 999 99.0 99.0  0.43 13.33  9.36 289 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 02 23 48 999 99.0 99.0  0.43 12.50  9.41 287 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 03 00 48 999 99.0 99.0  0.37 14.29  8.05 295 9999.0 999.0  16.0 999.0 99.0 99.00
2016 01 03 01 18 999 99.0 99.0  0.38 14.29  8.29 288 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 02 18 999 99.0 99.0  0.36 15.38  8.64 289 9999.0 999.0  16.0 999.0 99.0 99.00
2016 01 03 02 48 999 99.0 99.0  0.37 15.38  8.64 292 9999.0 999.0  16.0 999.0 99.0 99.00
2016 01 03 03 18 999 99.0 99.0  0.37 15.38  8.72 291 9999.0 999.0  16.0 999.0 99.0 99.00
2016 01 03 03 48 999 99.0 99.0  0.40 15.38  9.21 289 9999.0 999.0  16.0 999.0 99.0 99.00
2016 01 03 04 18 999 99.0 99.0  0.38 15.38  8.60 292 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 04 48 999 99.0 99.0  0.38 14.29  8.78 292 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 05 18 999 99.0 99.0  0.38 14.29  8.69 298 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 06 18 999 99.0 99.0  0.43 11.76  9.48 285 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 06 48 999 99.0 99.0  0.44 12.50  9.67 288 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 07 18 999 99.0 99.0  0.43 11.76  9.30 285 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 07 48 999 99.0 99.0  0.46 13.33  9.85 292 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 08 18 999 99.0 99.0  0.38 13.33  9.00 288 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 08 48 999 99.0 99.0  0.46 15.38  9.96 292 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 09 18 999 99.0 99.0  0.46 12.50  9.88 291 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 10 18 999 99.0 99.0  0.45 11.76  9.72 294 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 10 48 999 99.0 99.0  0.43 14.29  9.45 296 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 11 18 999 99.0 99.0  0.45 11.76  9.43 287 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 11 48 999 99.0 99.0  0.50 12.50  9.89 288 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 12 18 999 99.0 99.0  0.48 14.29  9.73 289 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 12 48 999 99.0 99.0  0.52 13.33 10.37 292 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 13 18 999 99.0 99.0  0.49 11.76  9.55 287 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 03 14 18 999 99.0 99.0  0.48 14.29  9.90 291 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 03 14 48 999 99.0 99.0  0.53 12.50 10.35 291 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 03 15 18 999 99.0 99.0  0.46 12.50  9.93 288 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 03 15 48 999 99.0 99.0  0.47 13.33 10.02 295 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 03 16 18 999 99.0 99.0  0.43 13.33  9.77 289 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 03 16 48 999 99.0 99.0  0.45 12.50 10.11 291 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 03 17 18 999 99.0 99.0  0.40 12.50  9.60 291 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 03 18 18 999 99.0 99.0  0.46 15.38 10.45 296 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 18 48 999 99.0 99.0  0.38 15.38  9.60 289 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 19 18 999 99.0 99.0  0.42 11.76  8.91 288 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 19 48 999 99.0 99.0  0.45 15.38  6.83 288 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 20 48 999 99.0 99.0  0.48 14.29  6.15 285 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 21 18 999 99.0 99.0  0.47 15.38  6.35 289 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 22 18 999 99.0 99.0  0.44 14.29  6.47 285 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 22 48 999 99.0 99.0  0.50 14.29  8.05 288 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 23 18 999 99.0 99.0  0.42 14.29  6.63 289 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 03 23 48 999 99.0 99.0  0.51 14.29  8.11 289 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 04 00 18 999 99.0 99.0  0.49 14.29  7.92 288 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 04 00 48 999 99.0 99.0  0.48 14.29  7.52 289 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 04 01 18 999 99.0 99.0  0.45 14.29  7.17 292 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 04 01 48 999 99.0 99.0  0.45 15.38  7.46 288 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 04 02 18 999 99.0 99.0  0.51 14.29  8.27 287 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 04 02 48 999 99.0 99.0  0.46 15.38  7.85 292 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 04 03 18 999 99.0 99.0  0.48 15.38  8.10 292 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 04 03 48 999 99.0 99.0  0.45 16.67  7.72 289 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 04 04 48 999 99.0 99.0  0.47 15.38  8.08 292 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 04 05 18 999 99.0 99.0  0.54 15.38  8.58 294 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 04 06 18 999 99.0 99.0  0.51 15.38  9.21 292 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 04 06 48 999 99.0 99.0  0.56 15.38  9.74 295 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 04 07 18 999 99.0 99.0  0.50 16.67  8.98 298 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 04 07 48 999 99.0 99.0  0.57 15.38 10.09 295 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 04 08 48 999 99.0 99.0  0.58 15.38  9.42 298 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 04 09 18 999 99.0 99.0  0.59 15.38  9.48 295 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 04 10 18 999 99.0 99.0  0.60 15.38  9.41 295 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 04 10 48 999 99.0 99.0  0.54 15.38  8.57 294 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 04 11 48 999 99.0 99.0  0.59 15.38  8.09 291 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 04 12 48 999 99.0 99.0  0.63 15.38  8.34 295 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 04 13 18 999 99.0 99.0  0.62 15.38  8.10 294 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 04 14 48 999 99.0 99.0  0.68 14.29  8.08 289 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 04 15 18 999 99.0 99.0  0.65 14.29  7.56 288 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 04 15 48 999 99.0 99.0  0.70 13.33  7.57 289 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 04 16 48 999 99.0 99.0  0.76 14.29  7.59 287 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 04 17 18 999 99.0 99.0  0.76 14.29  7.84 292 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 04 18 18 999 99.0 99.0  0.77 15.38  7.61 294 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 04 18 48 999 99.0 99.0  0.81 14.29  7.76 289 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 04 19 18 999 99.0 99.0  0.86 14.29  8.38 291 9999.0 999.0  15.8 999.0 99.0 99.00
